Trained with randomly augmented images:

Low Kappa: 0.34361702127659577
High Kappa: 0.5525281634791721
Average Quadratic Weighted Kappa: 0.46149800581961026

Test Accuracy:  0.7470238095238095
Quadratic Weighted Kappa:  0.7104572454758944


Trained with alpha policy:

Low Kappa: 0.3418875164887877
High Kappa: 0.5987245523669364
Average Quadratic Weighted Kappa: 0.4779556753966338

Test Accuracy:  0.9166666666666666
Quadratic Weighted Kappa:  0.894191437142078


Trained with randomly augmented images with minimum transform probability of 0.1:

Low Kappa: 0.4229445960374896
High Kappa: 0.6901884340480832
Average Quadratic Weighted Kappa: 0.5591247266653266

Test Accuracy:  0.9107142857142857
Quadratic Weighted Kappa:  0.8958361589583616




Entry Number | Prediction | Actual
Entry 77 | Prediction: 1 | Correct: 0
Entry 78 | Prediction: 2 | Correct: 2
Entry 79 | Prediction: 3 | Correct: 3
Entry 80 | Prediction: 1 | Correct: 1
Entry 81 | Prediction: 0 | Correct: 4
Entry 82 | Prediction: 2 | Correct: 2
Entry 83 | Prediction: 0 | Correct: 1
Entry 84 | Prediction: 0 | Correct: 1
Entry 85 | Prediction: 4 | Correct: 4
Entry 86 | Prediction: 4 | Correct: 4
Entry 87 | Prediction: 1 | Correct: 1
Entry 88 | Prediction: 4 | Correct: 4
Entry 89 | Prediction: 3 | Correct: 3
Entry 90 | Prediction: 1 | Correct: 0
Entry 91 | Prediction: 3 | Correct: 3
Entry 92 | Prediction: 0 | Correct: 1
Entry 93 | Prediction: 0 | Correct: 0
Entry 94 | Prediction: 2 | Correct: 2
Entry 95 | Prediction: 1 | Correct: 0
Entry 96 | Prediction: 0 | Correct: 0
Entry 97 | Prediction: 3 | Correct: 1
Entry 98 | Prediction: 3 | Correct: 3
Entry 99 | Prediction: 4 | Correct: 4
Entry 100 | Prediction: 3 | Correct: 3
Entry 101 | Prediction: 1 | Correct: 4
Entry 102 | Prediction: 2 | Correct: 2
Entry 103 | Prediction: 4 | Correct: 4
Entry 104 | Prediction: 1 | Correct: 4
Entry 105 | Prediction: 0 | Correct: 1
Entry 106 | Prediction: 3 | Correct: 3
Entry 107 | Prediction: 4 | Correct: 4
Entry 108 | Prediction: 2 | Correct: 0
Entry 109 | Prediction: 1 | Correct: 0
Entry 110 | Prediction: 2 | Correct: 2
Entry 111 | Prediction: 1 | Correct: 0
Entry 112 | Prediction: 1 | Correct: 1
Entry 113 | Prediction: 1 | Correct: 2
Entry 114 | Prediction: 4 | Correct: 4
Entry 115 | Prediction: 2 | Correct: 2
Entry 116 | Prediction: 2 | Correct: 2
Entry 117 | Prediction: 4 | Correct: 4
Entry 118 | Prediction: 2 | Correct: 0
Entry 119 | Prediction: 1 | Correct: 2
Entry 120 | Prediction: 0 | Correct: 1
Entry 121 | Prediction: 2 | Correct: 2
Entry 122 | Prediction: 1 | Correct: 1
Entry 123 | Prediction: 3 | Correct: 3
Entry 124 | Prediction: 3 | Correct: 3
Entry 125 | Prediction: 1 | Correct: 2
Entry 126 | Prediction: 1 | Correct: 1
Entry 127 | Prediction: 2 | Correct: 2
Entry 128 | Prediction: 3 | Correct: 3
Entry 129 | Prediction: 4 | Correct: 4
Entry 130 | Prediction: 3 | Correct: 3
Entry 131 | Prediction: 4 | Correct: 4
Entry 132 | Prediction: 4 | Correct: 4
Entry 133 | Prediction: 0 | Correct: 0
Entry 134 | Prediction: 3 | Correct: 3
Entry 135 | Prediction: 4 | Correct: 4
Entry 136 | Prediction: 4 | Correct: 4
Entry 137 | Prediction: 4 | Correct: 1
Entry 138 | Prediction: 1 | Correct: 0
Entry 139 | Prediction: 0 | Correct: 0
Entry 140 | Prediction: 1 | Correct: 1
Entry 141 | Prediction: 2 | Correct: 2
Entry 142 | Prediction: 0 | Correct: 0
Entry 143 | Prediction: 3 | Correct: 3
Entry 144 | Prediction: 0 | Correct: 0
Entry 145 | Prediction: 3 | Correct: 3
Entry 146 | Prediction: 0 | Correct: 0
Entry 147 | Prediction: 1 | Correct: 2
Entry 148 | Prediction: 4 | Correct: 2
Entry 149 | Prediction: 2 | Correct: 2
Entry 150 | Prediction: 2 | Correct: 2
Entry 151 | Prediction: 3 | Correct: 3
Entry 152 | Prediction: 2 | Correct: 0
Entry 153 | Prediction: 1 | Correct: 0
Entry 154 | Prediction: 3 | Correct: 3
Entry 155 | Prediction: 2 | Correct: 1
Entry 156 | Prediction: 4 | Correct: 4
Entry 157 | Prediction: 4 | Correct: 4
Entry 158 | Prediction: 2 | Correct: 0
Entry 159 | Prediction: 0 | Correct: 0
Entry 160 | Prediction: 0 | Correct: 1
Entry 161 | Prediction: 3 | Correct: 3
Entry 162 | Prediction: 0 | Correct: 1
Entry 163 | Prediction: 0 | Correct: 0
Entry 164 | Prediction: 3 | Correct: 3
Entry 165 | Prediction: 4 | Correct: 4
Entry 166 | Prediction: 3 | Correct: 3
Entry 167 | Prediction: 3 | Correct: 3
Entry 168 | Prediction: 1 | Correct: 1
Entry 169 | Prediction: 1 | Correct: 1
Entry 170 | Prediction: 2 | Correct: 1
Entry 171 | Prediction: 1 | Correct: 0
Entry 172 | Prediction: 4 | Correct: 4
Entry 173 | Prediction: 3 | Correct: 3
Entry 174 | Prediction: 1 | Correct: 2
Entry 175 | Prediction: 3 | Correct: 3
Entry 176 | Prediction: 1 | Correct: 2
Entry 177 | Prediction: 3 | Correct: 3
Entry 178 | Prediction: 1 | Correct: 1
Entry 179 | Prediction: 2 | Correct: 2
Entry 180 | Prediction: 1 | Correct: 1
Entry 181 | Prediction: 4 | Correct: 4
Entry 182 | Prediction: 0 | Correct: 0
Entry 183 | Prediction: 4 | Correct: 4
Entry 184 | Prediction: 2 | Correct: 2

Test Accuracy:  0.6972972972972973
Quadratic Weighted Kappa:  0.7315716272600834



Entry Number | Prediction | Actual
Entry 0 | Prediction: 2 | Correct: 2
Entry 1 | Prediction: 0 | Correct: 0
Entry 2 | Prediction: 2 | Correct: 2
Entry 3 | Prediction: 4 | Correct: 4
Entry 4 | Prediction: 0 | Correct: 1
Entry 5 | Prediction: 2 | Correct: 2
Entry 6 | Prediction: 3 | Correct: 1
Entry 7 | Prediction: 1 | Correct: 0
Entry 8 | Prediction: 2 | Correct: 2
Entry 9 | Prediction: 3 | Correct: 3
Entry 10 | Prediction: 4 | Correct: 4
Entry 11 | Prediction: 3 | Correct: 0
Entry 12 | Prediction: 1 | Correct: 0
Entry 13 | Prediction: 4 | Correct: 4
Entry 14 | Prediction: 4 | Correct: 4
Entry 15 | Prediction: 3 | Correct: 1
Entry 16 | Prediction: 3 | Correct: 3
Entry 17 | Prediction: 4 | Correct: 2
Entry 18 | Prediction: 3 | Correct: 3
Entry 19 | Prediction: 4 | Correct: 4
Entry 20 | Prediction: 0 | Correct: 0
Entry 21 | Prediction: 2 | Correct: 2
Entry 22 | Prediction: 0 | Correct: 0
Entry 23 | Prediction: 0 | Correct: 2
Entry 24 | Prediction: 1 | Correct: 1
Entry 25 | Prediction: 0 | Correct: 2
Entry 26 | Prediction: 0 | Correct: 0
Entry 27 | Prediction: 0 | Correct: 1
Entry 28 | Prediction: 3 | Correct: 3
Entry 29 | Prediction: 3 | Correct: 0
Entry 30 | Prediction: 1 | Correct: 1
Entry 31 | Prediction: 0 | Correct: 1
Entry 32 | Prediction: 1 | Correct: 0
Entry 33 | Prediction: 3 | Correct: 3
Entry 34 | Prediction: 1 | Correct: 1
Entry 35 | Prediction: 3 | Correct: 2
Entry 36 | Prediction: 3 | Correct: 2
Entry 37 | Prediction: 3 | Correct: 3
Entry 38 | Prediction: 3 | Correct: 2
Entry 39 | Prediction: 4 | Correct: 4
Entry 40 | Prediction: 3 | Correct: 2
Entry 41 | Prediction: 4 | Correct: 2
Entry 42 | Prediction: 2 | Correct: 0
Entry 43 | Prediction: 1 | Correct: 1
Entry 44 | Prediction: 3 | Correct: 3
Entry 45 | Prediction: 4 | Correct: 1
Entry 46 | Prediction: 3 | Correct: 3
Entry 47 | Prediction: 2 | Correct: 2
Entry 48 | Prediction: 0 | Correct: 0
Entry 49 | Prediction: 2 | Correct: 2
Entry 50 | Prediction: 1 | Correct: 0
Entry 51 | Prediction: 3 | Correct: 3
Entry 52 | Prediction: 4 | Correct: 1
Entry 53 | Prediction: 4 | Correct: 4
Entry 54 | Prediction: 3 | Correct: 3
Entry 55 | Prediction: 3 | Correct: 3
Entry 56 | Prediction: 4 | Correct: 4
Entry 57 | Prediction: 1 | Correct: 2
Entry 58 | Prediction: 2 | Correct: 2
Entry 59 | Prediction: 3 | Correct: 3
Entry 60 | Prediction: 1 | Correct: 2
Entry 61 | Prediction: 4 | Correct: 4
Entry 62 | Prediction: 1 | Correct: 0
Entry 63 | Prediction: 3 | Correct: 3
Entry 64 | Prediction: 3 | Correct: 0
Entry 65 | Prediction: 2 | Correct: 0
Entry 66 | Prediction: 3 | Correct: 3
Entry 67 | Prediction: 0 | Correct: 1
Entry 68 | Prediction: 2 | Correct: 2
Entry 69 | Prediction: 1 | Correct: 1
Entry 70 | Prediction: 1 | Correct: 2
Entry 71 | Prediction: 3 | Correct: 0
Entry 72 | Prediction: 2 | Correct: 2
Entry 73 | Prediction: 4 | Correct: 4
Entry 74 | Prediction: 0 | Correct: 0
Entry 75 | Prediction: 1 | Correct: 0
Entry 76 | Prediction: 0 | Correct: 1
Entry 77 | Prediction: 3 | Correct: 1
Entry 78 | Prediction: 0 | Correct: 0
Entry 79 | Prediction: 4 | Correct: 4
Entry 80 | Prediction: 2 | Correct: 2
Entry 81 | Prediction: 0 | Correct: 0
Entry 82 | Prediction: 4 | Correct: 0
Entry 83 | Prediction: 3 | Correct: 3
Entry 84 | Prediction: 4 | Correct: 4
Entry 85 | Prediction: 4 | Correct: 4
Entry 86 | Prediction: 0 | Correct: 0
Entry 87 | Prediction: 3 | Correct: 1
Entry 88 | Prediction: 3 | Correct: 3
Entry 89 | Prediction: 1 | Correct: 1
Entry 90 | Prediction: 3 | Correct: 0
Entry 91 | Prediction: 3 | Correct: 1
Entry 92 | Prediction: 2 | Correct: 1
Entry 93 | Prediction: 3 | Correct: 0
Entry 94 | Prediction: 3 | Correct: 3
Entry 95 | Prediction: 1 | Correct: 2
Entry 96 | Prediction: 1 | Correct: 1
Entry 97 | Prediction: 3 | Correct: 1
Entry 98 | Prediction: 3 | Correct: 3
Entry 99 | Prediction: 3 | Correct: 4
Entry 100 | Prediction: 4 | Correct: 4
Entry 101 | Prediction: 4 | Correct: 4
Entry 102 | Prediction: 0 | Correct: 1
Entry 103 | Prediction: 3 | Correct: 4
Entry 104 | Prediction: 3 | Correct: 3
Entry 105 | Prediction: 3 | Correct: 3
Entry 106 | Prediction: 0 | Correct: 0
Entry 107 | Prediction: 2 | Correct: 1
Entry 108 | Prediction: 4 | Correct: 4
Entry 109 | Prediction: 1 | Correct: 2
Entry 110 | Prediction: 2 | Correct: 1
Entry 111 | Prediction: 0 | Correct: 1
Entry 112 | Prediction: 3 | Correct: 3
Entry 113 | Prediction: 0 | Correct: 0
Entry 114 | Prediction: 1 | Correct: 4
Entry 115 | Prediction: 2 | Correct: 2
Entry 116 | Prediction: 4 | Correct: 4
Entry 117 | Prediction: 3 | Correct: 3
Entry 118 | Prediction: 3 | Correct: 3
Entry 119 | Prediction: 3 | Correct: 3
Entry 120 | Prediction: 4 | Correct: 4
Entry 121 | Prediction: 2 | Correct: 2
Entry 122 | Prediction: 3 | Correct: 3
Entry 123 | Prediction: 2 | Correct: 2
Entry 124 | Prediction: 3 | Correct: 0
Entry 125 | Prediction: 1 | Correct: 0
Entry 126 | Prediction: 0 | Correct: 1
Entry 127 | Prediction: 3 | Correct: 3
Entry 128 | Prediction: 1 | Correct: 1
Entry 129 | Prediction: 0 | Correct: 1
Entry 130 | Prediction: 2 | Correct: 1
Entry 131 | Prediction: 2 | Correct: 2
Entry 132 | Prediction: 2 | Correct: 2
Entry 133 | Prediction: 3 | Correct: 3
Entry 134 | Prediction: 3 | Correct: 3
Entry 135 | Prediction: 1 | Correct: 2
Entry 136 | Prediction: 4 | Correct: 4
Entry 137 | Prediction: 3 | Correct: 4
Entry 138 | Prediction: 1 | Correct: 1
Entry 139 | Prediction: 1 | Correct: 2
Entry 140 | Prediction: 4 | Correct: 4
Entry 141 | Prediction: 3 | Correct: 3
Entry 142 | Prediction: 3 | Correct: 0
Entry 143 | Prediction: 4 | Correct: 4
Entry 144 | Prediction: 3 | Correct: 3
Entry 145 | Prediction: 2 | Correct: 2
Entry 146 | Prediction: 3 | Correct: 3
Entry 147 | Prediction: 1 | Correct: 0
Entry 148 | Prediction: 4 | Correct: 4
Entry 149 | Prediction: 4 | Correct: 4
Entry 150 | Prediction: 0 | Correct: 0
Entry 151 | Prediction: 2 | Correct: 1
Entry 152 | Prediction: 1 | Correct: 4
Entry 153 | Prediction: 3 | Correct: 3
Entry 154 | Prediction: 1 | Correct: 1
Entry 155 | Prediction: 2 | Correct: 0
Entry 156 | Prediction: 4 | Correct: 4
Entry 157 | Prediction: 3 | Correct: 3
Entry 158 | Prediction: 4 | Correct: 4
Entry 159 | Prediction: 3 | Correct: 3
Entry 160 | Prediction: 0 | Correct: 1
Entry 161 | Prediction: 2 | Correct: 1
Entry 162 | Prediction: 4 | Correct: 4
Entry 163 | Prediction: 2 | Correct: 2
Entry 164 | Prediction: 1 | Correct: 2
Entry 165 | Prediction: 4 | Correct: 4
Entry 166 | Prediction: 4 | Correct: 4
Entry 167 | Prediction: 3 | Correct: 3
Entry 168 | Prediction: 4 | Correct: 4
Entry 169 | Prediction: 1 | Correct: 0
Entry 170 | Prediction: 1 | Correct: 2
Entry 171 | Prediction: 1 | Correct: 1
Entry 172 | Prediction: 4 | Correct: 1
Entry 173 | Prediction: 3 | Correct: 3
Entry 174 | Prediction: 2 | Correct: 0
Entry 175 | Prediction: 4 | Correct: 4
Entry 176 | Prediction: 1 | Correct: 4
Entry 177 | Prediction: 3 | Correct: 1
Entry 178 | Prediction: 4 | Correct: 4
Entry 179 | Prediction: 2 | Correct: 0
Entry 180 | Prediction: 3 | Correct: 3
Entry 181 | Prediction: 0 | Correct: 0
Entry 182 | Prediction: 3 | Correct: 2
Entry 183 | Prediction: 1 | Correct: 0
Entry 184 | Prediction: 2 | Correct: 2

Test Accuracy:  0.6
Quadratic Weighted Kappa:  0.649789029535865
