Entry Number | Prediction (None, Flip, Elastic Deformation, Affine, Noise, Blur) | Actual
Entry 39 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 4
Entry 40 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 41 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 42 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 43 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 44 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 45 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 46 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 47 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 0
Entry 48 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 49 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 50 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 51 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 52 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 53 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 54 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 55 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 56 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 57 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 58 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 59 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 60 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 61 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 62 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 4
Entry 63 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 64 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 65 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 66 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 67 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 0
Entry 68 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 69 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 70 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 0
Entry 71 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 1
Entry 72 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 73 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 74 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 75 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 76 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 77 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 78 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 79 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 80 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 81 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 82 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 83 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 84 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 85 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 86 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 87 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 4
Entry 88 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 89 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 90 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 91 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 92 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 93 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 94 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 95 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 96 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 3
Entry 97 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 98 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 99 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 100 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 4
Entry 101 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 4
Entry 102 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 103 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 104 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 4
Entry 105 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 106 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 107 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 4
Entry 108 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 109 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 3
Entry 110 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 111 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 112 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 113 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 114 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 115 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 116 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 117 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 118 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 119 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 120 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 121 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 122 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 123 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 124 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 3
Entry 125 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 126 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 127 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 128 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 129 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 130 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 131 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 132 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 133 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 134 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 135 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 136 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 137 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 0
Entry 138 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 139 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 140 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 141 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 142 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 143 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 144 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 145 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 146 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 2
Entry 147 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 148 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 149 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 150 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 151 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 4
Entry 152 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 153 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 154 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 155 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 156 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 157 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 2
Entry 158 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 159 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 0
Entry 160 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 161 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 162 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 163 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 164 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 165 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 166 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 167 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 2
Entry 168 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 169 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 170 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 171 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 172 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 173 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 174 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 4
Entry 175 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 176 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 177 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 178 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 179 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 180 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 181 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 182 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 183 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 184 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 185 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 186 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 187 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 188 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 189 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 190 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 191 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 192 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 193 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 0
Entry 194 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 195 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 196 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 197 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 198 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 199 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 4
Entry 200 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 201 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 202 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 203 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 204 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 205 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 206 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 207 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 208 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 3
Entry 209 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 210 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 211 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 3
Entry 212 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 4
Entry 213 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 4
Entry 214 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 215 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 216 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 4
Entry 217 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 218 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 3
Entry 219 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 4
Entry 220 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 221 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 3
Entry 222 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 223 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 224 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 225 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 226 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 227 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 228 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 229 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 230 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 231 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 232 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 233 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 234 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 235 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 236 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 3
Entry 237 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 238 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 239 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 240 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 241 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 242 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 243 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 244 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 245 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 246 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 247 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 248 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 249 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 250 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 2
Entry 251 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 0
Entry 252 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 3
Entry 253 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 254 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 255 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 256 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 257 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 258 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 259 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 260 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 261 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 262 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 263 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 4
Entry 264 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 265 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 266 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 267 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 268 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 269 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 270 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 271 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 272 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 273 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 274 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 275 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 276 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 277 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 278 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 279 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 280 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 281 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 282 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 3
